TS;MovieController.searchMovie(..);Y;10ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;13ms
TS;MovieController.searchMovie(..);Y;13ms
TJ;MovieDaoImpl.searchMovie(..);Y;5ms
TS;MovieController.searchMovie(..);Y;5ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;4ms
TS;MovieController.searchMovie(..);Y;6ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;1ms
TJ;MovieDaoImpl.searchMovie(..);Y;1ms
TS;MovieController.searchMovie(..);Y;10ms
TJ;MovieDaoImpl.searchMovie(..);Y;26ms
TS;MovieController.searchMovie(..);Y;26ms
TJ;MovieDaoImpl.searchMovie(..);Y;3ms
TS;MovieController.searchMovie(..);Y;4ms
TJ;MovieDaoImpl.searchMovie(..);Y;6ms
TS;MovieController.searchMovie(..);Y;6ms
TJ;MovieDaoImpl.searchMovie(..);Y;8ms
TS;MovieController.searchMovie(..);Y;9ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;10ms
TS;MovieController.searchMovie(..);Y;10ms
TJ;MovieDaoImpl.searchMovie(..);Y;17ms
TS;MovieController.searchMovie(..);Y;17ms
TJ;MovieDaoImpl.searchMovie(..);Y;2ms
TS;MovieController.searchMovie(..);Y;2ms
TJ;MovieDaoImpl.searchMovie(..);Y;5ms
TS;MovieController.searchMovie(..);Y;5ms
TJ;MovieDaoImpl.searchMovie(..);Y;6ms
TS;MovieController.searchMovie(..);Y;6ms
TJ;MovieDaoImpl.searchMovie(..);Y;5ms
TS;MovieController.searchMovie(..);Y;5ms
TJ;MovieDaoImpl.searchMovie(..);Y;10ms
TS;MovieController.searchMovie(..);Y;11ms
